 1.01626E-02 1.70589E-02 3.31704E-02 6.40019E-02 7.01638E-02
 1.69377E-02 1.81956E-02 3.55489E-02 6.98805E-02 7.11642E-02
 2.82486E-02 2.01762E-02 3.96807E-02 7.94416E-02 8.15744E-02
 4.70810E-02 2.37076E-02 4.84028E-02 9.74616E-02 1.18890E-01
 7.86164E-02 2.99460E-02 6.15350E-02 1.32943E-01 1.92463E-01
 1.32275E-01 4.09419E-02 8.51706E-02 1.90424E-01 2.69969E-01
 2.19298E-01 6.09021E-02 1.22429E-01 2.71553E-01 3.63008E-01
 3.78788E-01 9.66416E-02 1.81946E-01 3.77481E-01 4.72248E-01
 6.41026E-01 1.48816E-01 2.68885E-01 5.04181E-01 5.77849E-01
 1.01626E+00 2.15540E-01 3.70536E-01 6.25642E-01 7.12348E-01
 1.70068E+00 2.95991E-01 4.89542E-01 7.54512E-01 8.16912E-01
 2.87356E+00 3.42952E-01 5.73963E-01 8.63751E-01 9.02974E-01
 4.90196E+00 3.63470E-01 6.08546E-01 9.23637E-01 9.62923E-01
 8.33333E+00 3.63687E-01 6.22765E-01 9.44586E-01 1.00000E+01
 1.30208E+01 3.54935E-01 6.20746E-01 9.51620E-01 1.00000E+01
 2.19298E+01 3.67445E-01 6.02534E-01 9.55089E-01 1.00000E+01
 3.62319E+01 3.84942E-01 6.14880E-01 9.57571E-01 1.00000E+01
 6.41026E+01 3.96348E-01 6.32672E-01 9.57020E-01 1.00000E+01
 1.04167E+02 4.01622E-01 6.43634E-01 9.49211E-01 1.00000E+01
